idDrink,Name,Category,Alcoholic,Glass,Instructions,Thumbnail,Ingredient1,Ingredient2,Ingredient3,Ingredient4,Ingredient5,Ingredient6,Measure1,Measure2,Measure3,Measure4,Measure5,Measure6,Measure1 (ml),Measure2 (ml),Measure3 (ml),Measure4 (ml),Measure5 (ml),Measure6 (ml)
11023,Almeria,Ordinary Drink,Alcoholic,Cocktail glass,"In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a cocktail glass.",https://www.thecocktaildb.com/images/media/drink/rwsyyu1483388181.jpg,Dark rum,Kahlua,Egg white,,,,2 *30 ml ,1 *30 ml ,1,0,0,0,60,30,1,0,0,0
17228,Addison,Cocktail,Alcoholic,Martini Glass,Shake together all the ingredients and strain into a cold glass.,https://www.thecocktaildb.com/images/media/drink/yzva7x1504820300.jpg,Gin,Vermouth,,,,,1 1/2 *44 ml ,1 1/2 *44 ml ,0,0,0,0,242,242,0,0,0,0
17836,Acapulco,Ordinary Drink,Alcoholic,Old-fashioned glass,Combine and shake all ingredients (except mint) with ice and strain into an old-fashioned glass over ice cubes. Add the sprig of mint and serve.,https://www.thecocktaildb.com/images/media/drink/il9e0r1582478841.jpg,Light rum,Triple sec,Lime juice,Sugar,Egg white,Mint,1 1/2 *30 ml ,1 1/2 tsp ,1 *15 ml ,1 tsp ,1,1,165,1 1/2 tsp ,15,1 tsp ,1,1
17840,Affinity,Ordinary Drink,Alcoholic,Cocktail glass,"In a mixing glass half-filled with ice cubes, combine all of the ingredients. Stir well. Strain into a cocktail glass.",https://www.thecocktaildb.com/images/media/drink/wzdtnn1582477684.jpg,Scotch,Sweet Vermouth,Dry Vermouth,Orange bitters,,,1 1/2 *30 ml ,1 *30 ml ,1 *30 ml ,2 dashes ,0,0,165,30,30,2 dashes ,0,0
11046,Applecar,Ordinary Drink,Alcoholic,Cocktail glass,"Shake all ingredients with ice, strain into a cocktail glass, and serve.",https://www.thecocktaildb.com/images/media/drink/sbffau1504389764.jpg,Applejack,Triple sec,Lemon juice,,,,1 *30 ml ,1 *30 ml ,1 *30 ml ,0,0,0,30,30,30,0,0,0
17180,Aviation,Cocktail,Alcoholic,Cocktail glass,Add all ingredients into cocktail shaker filled with ice. Shake well and strain into cocktail glass. Garnish with a cherry.,https://www.thecocktaildb.com/images/media/drink/ruutxt1478253328.jpg,Gin,lemon juice,maraschino liqueur,,,,4.5 *10 ml,1.5 *10 ml,1.5 *10 ml,0,0,0,45,15,15,0,0,0
11014,Alexander,Ordinary Drink,Alcoholic,Cocktail glass,Shake all ingredients with ice and strain contents into a cocktail glass. Sprinkle nutmeg on top and serve.,https://www.thecocktaildb.com/images/media/drink/urystu1478253039.jpg,Gin,Creme de Cacao,Light cream,Nutmeg,,,1/2 *30 ml ,1/2 *30 ml white ,2 *30 ml ,0,0,0,15,15,60,0,0,0
11020,Algonquin,Ordinary Drink,Alcoholic,Cocktail glass,"Combine and shake all ingredients with ice, strain contents into a cocktail glass, and serve.",https://www.thecocktaildb.com/images/media/drink/uwryxx1483387873.jpg,Blended whiskey,Dry Vermouth,Pineapple juice,,,,1 1/2 *30 ml ,1 *30 ml ,1 *30 ml ,0,0,0,165,30,30,0,0,0
11021,Allegheny,Ordinary Drink,Alcoholic,Cocktail glass,Shake all ingredients (except lemon peel) with ice and strain into a cocktail glass. Top with the twist of lemon peel and serve.,https://www.thecocktaildb.com/images/media/drink/uwvyts1483387934.jpg,Dry Vermouth,Bourbon,Blackberry brandy,Lemon juice,Lemon peel,,1 *30 ml ,1 *30 ml ,1 1/2 tsp ,1 1/2 tsp ,1 twist of ,0,30,30,1 1/2 tsp ,1 1/2 tsp ,1 twist of ,0
11055,Artillery,Ordinary Drink,Alcoholic,Cocktail glass,"Stir all ingredients with ice, strain into a cocktail glass, and serve.",https://www.thecocktaildb.com/images/media/drink/g1vnbe1493067747.jpg,Sweet Vermouth,Gin,Bitters,,,,1 1/2 tsp ,1 1/2 *30 ml ,2 dashes ,0,0,0,1 1/2 tsp ,165,2 dashes ,0,0,0
